Folder/Label,File Name,Predicted Phonemes
A long,A long 1.wav, Eh
A long,A long 2.wav, A
A long,A long 3.wav, A
A long,A long 4.wav, A A
A short,A short 1.wav, Uh
A short,A short 2.wav, Ah
A short,A short 3.wav, Uh
A short,A short 4.wav, uh
B,B 1.wav, B B
B,B 2.wav, B
B,B 3.wav, P
B,B 4.wav, P
C,C 1.wav, Q
C,C 2.wav, Cook
C,C 3.wav, K K
C,C 4.wav, ク
D,D 1.wav, D
D,D 2.wav,the
D,D 3.wav, Duh
D,D 4.wav, Duh
E long,E long 1.wav, And
E long,E long 2.wav, Eee
E long,E long 3.wav, Eee
E long,E long 4.wav, E
E short,E short 1.wav, Eh
E short,E short 2.wav, Uh
E short,E short 3.wav, Eh
E short,E short 4.wav, Uh
F,F 1.wav, Okay
F,F 2.wav, Okay Okay Okay
F,F 3.wav, Shhhh
F,F 4.wav, Shhhh
G,G 1.wav, G G
G,G 2.wav, Q Q Q
G,G 3.wav, Guh
G,G 4.wav, G
H,H 1.wav, Okay Okay Okay
H,H 2.wav, Huh
H,H 3.wav, Huh?
H,H 4.wav, Huh?
I long,I long 1.wav, I
I long,I long 2.wav, Uh
I long,I long 3.wav, I
I long,I long 4.wav, I
I short,I short 1.wav, Eh
I short,I short 2.wav, Eh
I short,I short 3.wav, Eh
I short,I short 4.wav, Eh
J,J 1.wav, G
J,J 2.wav, J
J,J 3.wav, What?
J,J 4.wav, J
K,K 1.wav, K
K,K 2.wav, ク。
K,K 3.wav, K K K
K,K 4.wav, Okay
L,L 1.wav, All
L,L 2.wav, Oh
L,L 3.wav, Uuuu
L,L 4.wav, Oh
M,M 1.wav, Hmm
M,M 2.wav, Hmm
M,M 3.wav, Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
M,M 4.wav, Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
N,N 1.wav, Hmm
N,N 2.wav, Hmm
