Folder/Label,File Name,Predicted Phonemes
B,B 1.wav, 끝!
B,B 4.wav, Bye!
B,B 2.wav, 안녕
B,B 3.wav, Bye!
Q,Q 1.wav, 그...
Q,Q 2.wav, Cool.
Q,Q 4.wav, 그...
Q,Q 3.wav, 쿠...
E long,E long 4.wav, 음
E long,E long 2.wav, E
E long,E long 1.wav, 음
E long,E long 3.wav, E
O long,O long 2.wav, Oh
O long,O long 1.wav, Oh
O long,O long 3.wav, Oh
O long,O long 4.wav, Uh...
K,K 3.wav, T.
K,K 2.wav, 그...
K,K 4.wav, K.
K,K 1.wav, Good.
U long,U long 3.wav, Ooooooh
U long,U long 2.wav, 우우우우우
U long,U long 4.wav, Ehh
U long,U long 1.wav, Eeeeee
U short,U short 3.wav, Uh...
U short,U short 4.wav, Uh...
U short,U short 1.wav, Uh...
U short,U short 2.wav, Uh...
V,V 1.wav, Mmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
V,V 2.wav, um
V,V 3.wav, Um...
